,device_id,timestampI,timestampF,MAC,RSSI,channel,latitudeI,longitudeI,latitudeF,longitudeF,cnt_pckg,id,duration,ts_sort,distancias
4852,617.0,2021-06-01 15:54:27,2021-06-01 15:58:32,50:92:b9:d5:07:1a,-42,6,-22.815647,-47.062588,-22.824870999999998,-47.065489,60,369,245,2021-06-01 15:54:27,1.0678900373913238
4922,617.0,2021-06-01 15:58:29,2021-06-01 15:59:31,ba:9d:b1:5f:c5:1e,-90,1,-22.824862,-47.065475,-22.827347,-47.067378999999995,60,437,62,2021-06-01 15:58:29,0.3382756064748678
5733,617.0,2021-06-01 16:54:46,2021-06-01 16:56:54,3e:92:b4:f8:2b:a6,-63,1,-22.817006,-47.066171000000004,-22.821014,-47.067003,250,251,128,2021-06-01 16:54:46,0.45375459828417963
5754,617.0,2021-06-01 16:55:52,2021-06-01 17:03:53,f0:d7:aa:05:66:18,-50,1,-22.819901,-47.067734,-22.831503,-47.063165999999995,88,272,481,2021-06-01 16:55:52,1.372405119110544
5789,617.0,2021-06-01 16:57:58,2021-06-01 17:01:10,78:23:27:42:af:e2,-77,6,-22.818174,-47.063173,-22.824676,-47.065043,32,307,192,2021-06-01 16:57:58,0.7479623322386791
5822,617.0,2021-06-01 16:59:38,2021-06-01 17:00:55,0c:cb:85:c0:d5:bc,-38,1,-22.819795000000003,-47.060171000000004,-22.82415,-47.063796,166,338,77,2021-06-01 16:59:38,0.6103560901495112
8616,617.0,2021-06-02 07:17:08,2021-06-02 07:23:11,62:59:d1:fb:19:82,-54,6,-22.814401999999998,-47.071826,-22.815448999999997,-47.063735,202,412,363,2021-06-02 07:17:08,0.8374225514446679
9692,617.0,2021-06-02 08:21:33,2021-06-02 08:23:28,cc:61:e5:a8:6c:86,-87,1,-22.829467,-47.06494,-22.824929,-47.065232,198,426,115,2021-06-02 08:21:33,0.5054898887265781
9713,617.0,2021-06-02 08:22:09,2021-06-02 08:24:11,f0:d7:aa:05:66:18,-58,8,-22.828271,-47.066476,-22.825232999999997,-47.066845,32,447,122,2021-06-02 08:22:09,0.3399208775021741
9780,617.0,2021-06-02 08:24:57,2021-06-02 08:29:54,58:d9:c3:79:9a:2e,-95,1,-22.822957000000002,-47.068831,-22.813795000000002,-47.064805,177,514,297,2021-06-02 08:24:57,1.0991630858626509
11441,617.0,2021-06-02 11:19:47,2021-06-02 11:28:54,dc:bf:e9:40:a7:15,-75,11,-22.81651,-47.072691,-22.815711999999998,-47.062588,216,210,547,2021-06-02 11:19:47,1.0392971066174646
11443,617.0,2021-06-02 11:19:50,2021-06-02 11:22:01,08:aa:55:25:14:41,-89,6,-22.816502,-47.072696,-22.812778,-47.067803999999995,36,211,131,2021-06-02 11:19:50,0.6502934325001938
11446,617.0,2021-06-02 11:20:01,2021-06-02 11:28:28,30:fc:eb:89:46:e4,-64,1,-22.816482,-47.072699,-22.815479,-47.062629,247,214,507,2021-06-02 11:20:01,1.0381291525360317
11456,617.0,2021-06-02 11:20:25,2021-06-02 11:33:21,30:4b:07:ce:9a:01,-79,1,-22.815431,-47.072567,-22.823812,-47.062989,62,224,776,2021-06-02 11:20:25,1.3535718065406297
11636,617.0,2021-06-02 11:30:08,2021-06-02 11:37:08,a8:96:75:6d:5c:cf,-58,6,-22.818017,-47.063986,-22.831731,-47.062157,147,404,420,2021-06-02 11:30:08,1.5364072130013602
11721,617.0,2021-06-02 11:35:07,2021-06-02 11:37:08,64:a2:00:ca:52:4f,-91,6,-22.826639,-47.067693,-22.831731,-47.062157,37,489,121,2021-06-02 11:35:07,0.8015487741800266
11935,617.0,2021-06-02 11:57:37,2021-06-02 12:02:46,58:d9:c3:41:dc:54,-86,6,-22.825858,-47.066776000000004,-22.816522,-47.072686,133,115,309,2021-06-02 11:57:37,1.2019085882822313
12114,617.0,2021-06-02 12:02:48,2021-06-02 12:13:55,5a:ae:ef:87:15:4d,-52,1,-22.81652,-47.072685,-22.819875,-47.060190000000006,171,295,667,2021-06-02 12:02:48,1.3338802417115587
12218,617.0,2021-06-02 12:08:12,2021-06-02 12:14:03,c6:5c:22:fa:02:90,-80,2,-22.820828,-47.066674,-22.820186,-47.060302,229,399,351,2021-06-02 12:08:12,0.65696410999359
12225,617.0,2021-06-02 12:08:32,2021-06-02 12:12:32,a0:4f:85:d4:dd:04,-86,1,-22.820048999999997,-47.065587,-22.818146,-47.061966999999996,130,406,240,2021-06-02 12:08:32,0.42712259930666224
13128,617.0,2021-06-02 12:34:09,2021-06-02 12:38:36,7c:d6:61:b0:3c:23,-88,6,-22.829224,-47.060411,-22.825311,-47.066558,30,53,267,2021-06-02 12:34:09,0.7656338216156611
13191,617.0,2021-06-02 12:36:17,2021-06-02 12:37:57,98:39:8e:0d:ee:69,-87,6,-22.828515,-47.066297,-22.825173,-47.065377000000005,44,114,100,2021-06-02 12:36:17,0.38338893114948674
