,device_id,timestampI,timestampF,MAC,RSSI,channel,latitudeI,longitudeI,latitudeF,longitudeF,cnt_pckg,id,duration,ts_sort,distancias
10030,617.0,2021-08-02 15:27:21,2021-08-02 15:30:32,c6:5c:22:fa:02:90,-90,8,-22.819218,-47.059940000000005,-22.825706,-47.066821999999995,234,427,191,2021-08-02 15:27:21,1.0089416336118169
10101,617.0,2021-08-02 15:30:55,2021-08-02 15:32:51,5c:af:06:7a:b4:29,-97,6,-22.827074,-47.067575,-22.831495,-47.062258,52,497,116,2021-08-02 15:30:55,0.7338881110343033
10215,617.0,2021-08-02 15:45:30,2021-08-02 15:48:38,04:c8:07:92:42:0c,-95,11,-22.828530999999998,-47.06625,-22.824254,-47.067778000000004,47,57,188,2021-08-02 15:45:30,0.5007006382177236
10266,617.0,2021-08-02 15:46:45,2021-08-02 15:49:50,f4:f5:24:24:b9:6b,-90,5,-22.825692999999998,-47.066454,-22.821487,-47.070263,216,108,185,2021-08-02 15:46:45,0.6092022467742825
10284,617.0,2021-08-02 15:47:18,2021-08-02 16:01:42,50:92:b9:6d:df:78,-74,6,-22.825354,-47.06576,-22.817991,-47.063899,76,126,864,2021-08-02 15:47:18,0.840652989861684
10493,617.0,2021-08-02 15:54:19,2021-08-02 16:02:31,bc:98:df:ac:9a:fe,-83,1,-22.814783,-47.064118,-22.818158,-47.063088,169,335,492,2021-08-02 15:54:19,0.38984927676597997
10523,617.0,2021-08-02 15:55:51,2021-08-02 15:58:59,50:92:b9:f2:ba:66,-55,6,-22.818405,-47.06641,-22.816368,-47.063598,144,365,188,2021-08-02 15:55:51,0.36656559884505446
10574,617.0,2021-08-02 15:57:35,2021-08-02 16:03:02,e0:10:7f:ad:d3:38,-81,6,-22.819563,-47.064965,-22.818129000000003,-47.062282,59,416,327,2021-08-02 15:57:35,0.31787341464479607
10578,617.0,2021-08-02 15:57:53,2021-08-02 15:59:06,c6:70:4d:ea:9c:05,-90,1,-22.81861,-47.064253,-22.815955,-47.063644000000004,103,420,73,2021-08-02 15:57:53,0.30174934710275036
10741,617.0,2021-08-02 16:06:45,2021-08-02 16:08:56,00:1d:86:15:c1:31,-88,3,-22.825389,-47.066461,-22.831707,-47.062199,145,583,131,2021-08-02 16:06:45,0.8272461414412868
10753,617.0,2021-08-02 16:07:08,2021-08-02 16:08:10,38:9a:f6:88:54:1d,-95,11,-22.826284,-47.067637,-22.830510999999998,-47.064424,64,595,62,2021-08-02 16:07:08,0.573889405598242
17692,617.0,2021-08-03 11:13:39,2021-08-03 11:14:43,50:92:b9:7c:76:c4,-93,8,-22.829352,-47.065177,-22.825799,-47.066611,35,67,64,2021-08-03 11:13:39,0.42152554612468374
17881,617.0,2021-08-03 11:18:39,2021-08-03 11:29:27,c6:5c:22:fa:02:90,-93,6,-22.817204999999998,-47.0727,-22.818046,-47.060691999999996,110,256,648,2021-08-03 11:18:39,1.2342882417305305
18645,617.0,2021-08-03 12:00:06,2021-08-03 12:02:19,8c:d9:d6:39:7e:a2,-93,1,-22.828066,-47.066679,-22.824386999999998,-47.067678,64,50,133,2021-08-03 12:00:06,0.42170427891760404
18806,617.0,2021-08-03 12:04:25,2021-08-03 12:10:03,d8:9a:34:1d:ae:f9,-62,2,-22.819114000000003,-47.072314,-22.817301999999998,-47.066139,190,209,338,2021-08-03 12:04:25,0.6641921114982728
18839,617.0,2021-08-03 12:05:32,2021-08-03 12:14:52,48:2c:a0:9b:d1:ea,-77,1,-22.816722,-47.072697,-22.815919,-47.062525,190,242,560,2021-08-03 12:05:32,1.0463892773654033
18966,617.0,2021-08-03 12:12:08,2021-08-03 12:22:54,48:90:2f:db:fe:44,-65,1,-22.819913,-47.065399,-22.829814000000002,-47.060238,235,384,646,2021-08-03 12:12:08,1.2214139974839406
19747,617.0,2021-08-03 12:34:01,2021-08-03 12:35:12,88:b4:a6:e9:9f:72,-81,8,-22.829497,-47.060266999999996,-22.829523000000002,-47.064251,106,9,71,2021-08-03 12:34:01,0.4083082453061585
19761,617.0,2021-08-03 12:34:40,2021-08-03 12:38:29,30:4b:07:8c:f1:83,-90,6,-22.82948,-47.062182,-22.82516,-47.066154,65,23,229,2021-08-03 12:34:40,0.6296492811470472
19819,617.0,2021-08-03 12:35:59,2021-08-03 12:38:22,98:39:8e:0d:ee:69,-89,6,-22.828360999999997,-47.066408,-22.825032999999998,-47.065868,180,79,143,2021-08-03 12:35:59,0.3741726477148586
19822,617.0,2021-08-03 12:36:00,2021-08-03 12:37:23,cc:73:14:73:ed:63,-79,7,-22.828333999999998,-47.066434,-22.825595,-47.066322,55,84,83,2021-08-03 12:36:00,0.30477955001460855
20589,617.0,2021-08-03 13:13:49,2021-08-03 13:17:47,06:33:04:67:26:62,-95,6,-22.828563,-47.066193,-22.823211999999998,-47.068659000000004,174,79,238,2021-08-03 13:13:49,0.6464556824860404
20592,617.0,2021-08-03 13:13:49,2021-08-03 13:21:47,ae:09:a2:10:ab:e5,-91,11,-22.828563,-47.066193,-22.812887,-47.067892,237,80,478,2021-08-03 13:13:49,1.7517702536892468
20638,617.0,2021-08-03 13:14:49,2021-08-03 13:20:18,04:c8:07:92:42:0c,-48,1,-22.827057,-47.06753,-22.816376,-47.072697999999995,139,128,329,2021-08-03 13:14:49,1.3004311943108375
20974,617.0,2021-08-03 13:25:21,2021-08-03 13:38:20,fc:aa:b6:ca:d7:a1,-92,1,-22.820235999999998,-47.068286,-22.831898000000002,-47.062206,74,456,779,2021-08-03 13:25:21,1.438700371551757
21328,617.0,2021-08-03 13:57:15,2021-08-03 14:00:07,06:41:4b:e7:7e:9b,-93,6,-22.829441,-47.064999,-22.824444,-47.067581,228,44,172,2021-08-03 13:57:15,0.6154360036900687
21412,617.0,2021-08-03 14:00:13,2021-08-03 14:03:00,4c:ed:fb:85:70:78,-88,11,-22.824281,-47.067709,-22.817421,-47.072634,88,128,167,2021-08-03 14:00:13,0.9146867647485735
21499,617.0,2021-08-03 14:03:15,2021-08-03 14:05:33,82:62:7e:93:4f:f1,-87,11,-22.817107,-47.07267,-22.8127,-47.067816,130,215,138,2021-08-03 14:03:15,0.6983230014505433
21507,617.0,2021-08-03 14:03:38,2021-08-03 14:16:51,06:33:04:67:26:62,-43,6,-22.816585999999997,-47.072664,-22.824258,-47.064042,242,223,793,2021-08-03 14:03:38,1.2282712651402303
21766,617.0,2021-08-03 14:17:57,2021-08-03 14:19:29,e2:71:58:05:80:d0,-93,11,-22.82651,-47.067686,-22.831297,-47.063531,90,481,92,2021-08-03 14:17:57,0.6816599318781591
23215,617.0,2021-08-03 15:17:32,2021-08-03 15:27:12,8a:25:c6:af:8d:22,-61,11,-22.815520000000003,-47.06563,-22.820176,-47.060294,204,321,580,2021-08-03 15:17:32,0.7530884613765343
23231,617.0,2021-08-03 15:18:39,2021-08-03 15:26:49,38:9a:f6:9e:21:55,-56,11,-22.817168,-47.066137,-22.819848999999998,-47.060190999999996,198,337,490,2021-08-03 15:18:39,0.6784296601095549
23983,617.0,2021-08-03 15:42:40,2021-08-03 15:43:55,50:92:b9:92:17:5c,-94,6,-22.828431,-47.066342999999996,-22.825744,-47.06662,141,53,75,2021-08-03 15:42:40,0.3001268263381502
24042,617.0,2021-08-03 15:44:02,2021-08-03 15:47:13,f4:f5:24:24:b9:6b,-87,1,-22.825622,-47.06628,-22.820831,-47.07094,84,112,191,2021-08-03 15:44:02,0.7154778599741604
25224,617.0,2021-08-03 16:44:11,2021-08-03 16:52:36,a0:cc:2b:81:68:94,-52,11,-22.829522,-47.064751,-22.812731,-47.067813,82,49,505,2021-08-03 16:44:11,1.8932675950113407
25414,617.0,2021-08-03 16:50:51,2021-08-03 17:05:07,f0:b5:d1:5d:08:6e,-93,11,-22.816923000000003,-47.072739,-22.827299,-47.067512,38,239,856,2021-08-03 16:50:51,1.2720665689280661
25679,617.0,2021-08-03 17:05:10,2021-08-03 17:06:59,5e:41:7b:d8:a3:16,-82,11,-22.827302,-47.067507,-22.831851,-47.062206,224,504,109,2021-08-03 17:05:10,0.7422953526798945
