,device_id,timestampI,timestampF,MAC,RSSI,channel,latitudeI,longitudeI,latitudeF,longitudeF,cnt_pckg,id,duration,ts_sort,distancias
2617,,2021-08-02 09:09:37,2021-08-02 09:22:55,40:06:a0:5b:8c:b2,-93,11,-22.816326,-47.072632,-22.825192,-47.065451,36,75,798,2021-08-02 09:09:37,1.2302803224200807
2864,,2021-08-02 09:22:22,2021-08-02 09:26:31,c2:31:c6:17:7f:ad,-92,6,-22.825960000000002,-47.066926,-22.821562,-47.068416,95,321,249,2021-08-02 09:22:22,0.5123241036963782
3122,,2021-08-02 11:03:30,2021-08-02 11:07:43,70:fd:46:18:15:18,-90,6,-22.816069,-47.072538,-22.814384,-47.067651,201,29,253,2021-08-02 11:03:30,0.5347896442867809
3138,,2021-08-02 11:05:05,2021-08-02 11:12:32,30:4b:07:ce:9a:01,-70,1,-22.816301,-47.072672999999995,-22.824614999999998,-47.064868,169,45,447,2021-08-02 11:05:05,1.2225246325494747
3384,,2021-08-02 11:14:08,2021-08-02 11:15:54,00:b8:b6:2a:6c:26,-89,6,-22.827859,-47.066938,-22.831866,-47.062191,52,208,106,2021-08-02 11:14:08,0.6596949117803247
3427,,2021-08-02 11:14:54,2021-08-02 11:22:17,e8:5a:8b:c1:01:b2,-93,6,-22.829013,-47.065884000000004,-22.822619,-47.069134000000005,194,228,443,2021-08-02 11:14:54,0.7851363371512782
3617,,2021-08-02 11:19:59,2021-08-02 11:28:06,08:8c:2c:b0:8b:5f,-59,1,-22.825635000000002,-47.066196999999995,-22.813563000000002,-47.060518,228,328,487,2021-08-02 11:19:59,1.4631060959981705
3837,,2021-08-02 11:26:24,2021-08-02 11:31:12,88:b1:e1:28:8f:61,-84,1,-22.813709,-47.060291,-22.815873,-47.062577000000005,40,441,288,2021-08-02 11:26:24,0.335856614844848
4814,,2021-08-02 12:03:08,2021-08-02 12:04:44,38:9a:f6:88:54:1d,-94,1,-22.825318,-47.066396000000005,-22.830928,-47.064021999999994,147,140,96,2021-08-02 12:03:08,0.6695723131178689
4878,,2021-08-02 12:05:08,2021-08-02 12:10:10,7e:0a:5b:b3:e8:14,-72,11,-22.831753,-47.062709999999996,-22.825381,-47.065785,39,204,302,2021-08-02 12:05:08,0.7754587649870042
5255,,2021-08-02 12:22:48,2021-08-02 12:28:05,78:04:73:ff:4d:e0,-90,11,-22.817039,-47.066144,-22.816533,-47.072807,37,581,317,2021-08-02 12:22:48,0.6852315149242078
6219,,2021-08-02 12:50:44,2021-08-02 12:59:57,52:6b:a9:43:54:ca,-90,6,-22.823748000000002,-47.065284999999996,-22.823497,-47.068458,30,77,553,2021-08-02 12:50:44,0.3263926789758327
6269,,2021-08-02 12:51:46,2021-08-02 12:53:39,f6:03:1d:30:53:82,-90,6,-22.825266,-47.066305,-22.829929,-47.065041,55,127,113,2021-08-02 12:51:46,0.5344400591472911
6322,,2021-08-02 12:52:33,2021-08-02 12:53:37,08:cc:27:07:59:07,-67,1,-22.825854,-47.067208,-22.829803,-47.06516,34,180,64,2021-08-02 12:52:33,0.4866941108241353
6387,,2021-08-02 12:55:00,2021-08-02 13:07:32,a8:16:d0:22:5e:51,-59,2,-22.830046,-47.061999,-22.813522,-47.060984000000005,54,245,752,2021-08-02 12:55:00,1.8403300220513261
7448,,2021-08-02 13:36:23,2021-08-02 13:42:26,04:92:26:50:21:56,-56,1,-22.815989000000002,-47.072717,-22.827724,-47.067101,54,1,363,2021-08-02 13:36:23,1.4261819358524865
7544,,2021-08-02 13:41:09,2021-08-02 13:44:13,0c:e0:dc:b1:5a:11,-87,1,-22.824713,-47.065139,-22.831906,-47.062225,43,98,184,2021-08-02 13:41:09,0.8537617867568924
7648,,2021-08-02 13:43:04,2021-08-02 13:51:22,a8:16:d0:22:5e:51,-64,13,-22.828771,-47.066164,-22.818168,-47.063764,66,201,498,2021-08-02 13:43:04,1.2043867248278728
7838,,2021-08-02 13:49:28,2021-08-02 13:52:57,d0:77:14:15:e1:04,-82,10,-22.822283,-47.069438,-22.813478,-47.062013,97,391,209,2021-08-02 13:49:28,1.2400494085413745
7886,,2021-08-02 13:53:09,2021-08-02 13:57:36,88:b1:e1:28:8f:61,-90,1,-22.813728,-47.060502,-22.815931,-47.062538,49,439,267,2021-08-02 13:53:09,0.3217987556607794
7908,,2021-08-02 13:55:00,2021-08-02 13:59:15,68:7d:6b:52:05:25,-59,1,-22.813558,-47.060652000000005,-22.818989000000002,-47.064808,50,461,255,2021-08-02 13:55:00,0.7390151945455257
17106,,2021-08-03 09:18:04,2021-08-03 09:19:59,00:10:20:57:3e:b5,-72,7,-22.826279,-47.067721,-22.831754,-47.0622,43,160,115,2021-08-03 09:18:04,0.831131599085756
17551,,2021-08-03 11:06:15,2021-08-03 11:11:14,30:4b:07:ce:9a:01,-63,11,-22.815589000000003,-47.072558,-22.824344,-47.064912,253,7,299,2021-08-03 11:06:15,1.2497344722578685
17552,,2021-08-03 11:06:18,2021-08-03 11:13:49,dc:bf:e9:42:33:9f,-54,6,-22.815424,-47.07251,-22.828754,-47.066206,172,8,451,2021-08-03 11:06:18,1.6169256375212355
18578,,2021-08-03 11:32:28,2021-08-03 11:34:07,f4:30:8b:56:5c:ca,-91,6,-22.814042,-47.068212,-22.816619,-47.072798999999996,61,497,99,2021-08-03 11:32:28,0.5505880007930702
19170,,2021-08-03 11:55:28,2021-08-03 12:00:34,60:1d:91:a0:cf:f2,-52,6,-22.815569,-47.072542,-22.824426000000003,-47.06485,214,2,306,2021-08-03 11:55:28,1.261530430914886
19198,,2021-08-03 11:56:35,2021-08-03 12:02:12,26:83:0e:fb:3d:56,-53,6,-22.813763,-47.069705,-22.828262,-47.066594,102,30,337,2021-08-03 11:56:35,1.6434445066115604
19546,,2021-08-03 12:09:34,2021-08-03 12:12:00,6a:bc:68:b4:c4:84,-52,1,-22.823091,-47.068717,-22.817514000000003,-47.063789,214,378,146,2021-08-03 12:09:34,0.7997941193167647
19624,,2021-08-03 12:14:47,2021-08-03 12:19:40,58:d9:c3:a0:cf:6f,-93,6,-22.814514000000003,-47.057204,-22.813341,-47.062065000000004,43,455,293,2021-08-03 12:14:47,0.5150237493935077
20176,,2021-08-03 12:56:35,2021-08-03 12:58:36,70:bb:e9:f2:a2:49,-93,6,-22.829485000000002,-47.064206,-22.825664,-47.06627,63,303,121,2021-08-03 12:56:35,0.4746211911707491
20198,,2021-08-03 12:57:25,2021-08-03 12:58:43,04:d9:f5:43:5e:d1,-89,6,-22.828639000000003,-47.066123,-22.825658999999998,-47.066266999999996,124,325,78,2021-08-03 12:57:25,0.33168981905625683
23443,,2021-08-03 15:26:43,2021-08-03 15:39:49,96:cc:8c:47:fa:65,-53,13,-22.815896,-47.072656,-22.822799,-47.069001,188,0,786,2021-08-03 15:26:43,0.8541136334239572
23599,,2021-08-03 15:34:32,2021-08-03 15:37:48,78:04:73:ff:4d:e0,-86,11,-22.829854,-47.061985,-22.825512,-47.066057,35,156,196,2021-08-03 15:34:32,0.6381711536041798
28662,,2021-08-04 07:41:09,2021-08-04 07:42:37,0e:59:a8:7f:60:c2,-93,11,-22.829310999999997,-47.065288,-22.825741,-47.066425,36,214,88,2021-08-04 07:41:09,0.4137158185221543
29737,,2021-08-04 08:35:30,2021-08-04 08:41:09,be:ed:74:ba:5b:6d,-88,2,-22.825322,-47.066465,-22.821264000000003,-47.067588,90,305,339,2021-08-04 08:35:30,0.46567704274956523
31056,,2021-08-04 11:05:41,2021-08-04 11:08:04,64:a2:00:2d:fa:75,-60,1,-22.816025,-47.072608,-22.817853,-47.066235,220,1,143,2021-08-04 11:05:41,0.6840894975269499
31060,,2021-08-04 11:05:44,2021-08-04 11:08:53,38:9a:f6:05:8a:05,-45,6,-22.815832999999998,-47.072586,-22.819346,-47.067111,230,5,189,2021-08-04 11:05:44,0.6837261306723155
31065,,2021-08-04 11:05:49,2021-08-04 11:07:00,78:23:27:3a:b9:78,-47,11,-22.815524,-47.072532,-22.814001,-47.068463,104,10,71,2021-08-04 11:05:49,0.4501264226434242
31068,,2021-08-04 11:05:52,2021-08-04 11:15:10,50:92:b9:6d:df:78,-67,11,-22.81541,-47.072491,-22.831925,-47.062385,100,13,558,2021-08-04 11:05:52,2.1083403231136666
31070,,2021-08-04 11:05:56,2021-08-04 11:13:16,dc:bf:e9:42:33:9f,-69,1,-22.815334,-47.072463,-22.827331,-47.067446999999994,234,15,440,2021-08-04 11:05:56,1.4296388085277079
31214,,2021-08-04 11:12:20,2021-08-04 11:16:18,1a:4d:42:9f:64:29,-81,6,-22.824963,-47.065756,-22.829368,-47.062126,63,159,238,2021-08-04 11:12:20,0.6150777363918407
