,timestampI,timestampF,MAC,RSSI,channel,latitudeI,longitudeI,latitudeF,longitudeF,cnt_pckg,id,device_id,duration,ts_sort,distancias
13513,2021-07-02 12:54:35,2021-07-02 12:57:11,38:80:df:05:53:ef,-92,11,-22.829485000000002,-47.064484,-22.825432,-47.065876,45,306,,156,2021-07-02 12:54:35,0.4727142515992029
21931,2021-07-05 08:25:43,2021-07-05 08:40:15,02:00:00:00:00:00,-89,2,-22.825173,-47.066138,-22.813924,-47.059325,65,251,,872,2021-07-05 08:25:43,1.4325417690793973
21952,2021-07-05 08:26:40,2021-07-05 08:28:51,f6:25:e8:6b:23:f9,-94,11,-22.825702,-47.066913,-22.831879999999998,-47.062211,123,272,,131,2021-07-05 08:26:40,0.8391251424845115
22046,2021-07-05 08:32:35,2021-07-05 08:34:44,28:83:35:c3:3c:01,-68,6,-22.824883,-47.065459999999995,-22.82227,-47.06943,75,378,,129,2021-07-05 08:32:35,0.4999730145107174
23084,2021-07-05 11:05:04,2021-07-05 11:14:29,70:fd:46:8a:27:62,-46,6,-22.815695,-47.072596000000004,-22.829681,-47.061878,44,1,,565,2021-07-05 11:05:04,1.9040044367453088
23092,2021-07-05 11:05:22,2021-07-05 11:08:37,8a:62:c8:e6:67:66,-66,7,-22.814882,-47.072229,-22.821116,-47.067105,107,9,,195,2021-07-05 11:05:22,0.8696671743231507
23094,2021-07-05 11:05:32,2021-07-05 11:10:08,30:4b:07:ce:9a:01,-67,6,-22.814341,-47.071688,-22.8245,-47.064820000000005,151,11,,276,2021-07-05 11:05:32,1.3310005786276584
23329,2021-07-05 11:15:53,2021-07-05 11:19:32,b6:2f:1f:34:6d:4c,-91,6,-22.828663,-47.066098,-22.821607999999998,-47.068518,228,246,,219,2021-07-05 11:15:53,0.8227545034793672
24319,2021-07-05 12:06:12,2021-07-05 12:07:15,80:b0:3d:37:e0:25,-93,6,-22.829482000000002,-47.064731,-22.827345,-47.067345,167,235,,63,2021-07-05 12:06:12,0.35809724665035975
26164,2021-07-05 12:53:42,2021-07-05 12:57:52,04:d3:95:24:ee:64,-90,6,-22.829079,-47.065806,-22.825497,-47.065917999999996,102,198,,250,2021-07-05 12:53:42,0.3984661390473934
28311,2021-07-05 14:39:30,2021-07-05 14:42:18,50:92:b9:e7:0c:5e,-92,1,-22.824623000000003,-47.06496,-22.831378,-47.06343,33,107,,168,2021-07-05 14:39:30,0.767315170371984
28315,2021-07-05 14:39:33,2021-07-05 14:42:47,c8:c7:50:b8:8b:49,-92,1,-22.824697,-47.065138,-22.831878,-47.062238,131,111,,194,2021-07-05 14:39:33,0.852010324820108
28321,2021-07-05 14:39:34,2021-07-05 14:41:32,d0:77:14:6e:b3:72,-93,1,-22.824724,-47.065202,-22.828423,-47.066425,163,117,,118,2021-07-05 14:39:34,0.42998467547738695
28323,2021-07-05 14:39:35,2021-07-05 14:42:42,88:46:04:23:56:30,-90,11,-22.824752,-47.065267,-22.831908,-47.062318,133,119,,187,2021-07-05 14:39:35,0.8511757090043607
28329,2021-07-05 14:39:38,2021-07-05 14:42:28,7e:b7:1d:0e:5d:02,-90,1,-22.824825,-47.065438,-22.831618,-47.062988,34,125,,170,2021-07-05 14:39:38,0.7959878687561505
28394,2021-07-05 14:41:06,2021-07-05 14:42:23,22:94:ec:46:b7:e0,-88,11,-22.826628,-47.067706,-22.831483,-47.063241,63,190,,77,2021-07-05 14:41:06,0.7076956131996769
28596,2021-07-05 14:52:46,2021-07-05 14:58:04,88:b1:e1:28:8f:61,-92,1,-22.813704,-47.060659,-22.816157999999998,-47.062514,31,392,,318,2021-07-05 14:52:46,0.3325786515738404
29324,2021-07-05 15:23:27,2021-07-05 15:30:12,f6:03:1d:30:53:82,-91,1,-22.821282999999998,-47.06757,-22.828935,-47.065784,31,131,,405,2021-07-05 15:23:27,0.8703307510648101
29365,2021-07-05 15:25:19,2021-07-05 15:33:53,d0:77:14:0e:a0:d5,-89,11,-22.825118,-47.065987,-22.822789999999998,-47.068938,49,172,,514,2021-07-05 15:25:19,0.39809790283649726
29589,2021-07-05 15:38:35,2021-07-05 15:43:26,88:b1:e1:28:8f:61,-93,1,-22.813737,-47.060421000000005,-22.815603,-47.062607,84,396,,291,2021-07-05 15:38:35,0.30537343222196456
36785,2021-07-06 11:05:30,2021-07-06 11:10:51,30:4b:07:ce:9a:01,-58,6,-22.816198999999997,-47.072662,-22.824872,-47.065534,241,0,,321,2021-07-06 11:05:30,1.209864238535028
36940,2021-07-06 11:11:03,2021-07-06 11:16:10,70:fd:46:9b:f3:d8,-94,6,-22.824904,-47.065647,-22.829335999999998,-47.06514,96,155,,307,2021-07-06 11:11:03,0.4955482750454709
37950,2021-07-06 11:57:10,2021-07-06 11:59:31,48:49:c7:19:22:fa,-47,6,-22.815783,-47.072657,-22.816944,-47.066201,126,3,,141,2021-07-06 11:57:10,0.6741792046814782
38106,2021-07-06 12:03:11,2021-07-06 12:08:24,f2:0f:f4:b3:5c:bc,-90,1,-22.825222,-47.066148999999996,-22.828383,-47.066333,216,159,,313,2021-07-06 12:03:11,0.35199314324774417
38278,2021-07-06 12:09:11,2021-07-06 12:13:09,92:4d:87:0d:80:2b,-93,11,-22.825865,-47.066724,-22.821619000000002,-47.068453000000005,129,331,,238,2021-07-06 12:09:11,0.504293315387716
38358,2021-07-06 12:10:45,2021-07-06 12:12:15,aa:aa:b4:26:a4:fd,-94,6,-22.825205,-47.066178,-22.823075,-47.068717,151,411,,90,2021-07-06 12:10:45,0.3518655185116204
38483,2021-07-06 12:16:36,2021-07-06 12:18:20,0c:cb:85:c1:61:b7,-81,3,-22.813339000000003,-47.062632,-22.813917,-47.059312,90,536,,104,2021-07-06 12:16:36,0.34630430946042096
40568,2021-07-06 13:36:14,2021-07-06 13:43:54,04:c8:07:92:42:0c,-61,1,-22.81602,-47.072611,-22.8314,-47.063431,193,0,,460,2021-07-06 13:36:14,1.9518991549088471
40574,2021-07-06 13:36:24,2021-07-06 13:43:12,06:33:04:67:26:62,-47,6,-22.815436,-47.072492,-22.828761,-47.066148,150,6,,408,2021-07-06 13:36:24,1.6180589877341451
40878,2021-07-06 13:47:27,2021-07-06 13:51:45,dc:bf:e9:09:79:f6,-48,11,-22.827876,-47.066825,-22.821968,-47.069362,101,310,,258,2021-07-06 13:47:27,0.706524589336464
41822,2021-07-06 14:33:40,2021-07-06 14:39:02,b0:f1:ec:cd:07:aa,-79,1,-22.825354,-47.066481,-22.828769,-47.065975,46,156,,322,2021-07-06 14:33:40,0.3832558438398832
41867,2021-07-06 14:35:21,2021-07-06 14:37:39,40:06:a0:5b:a7:bf,-91,11,-22.828792,-47.066138,-22.829293,-47.061912,39,201,,138,2021-07-06 14:35:21,0.4366688760114002
50369,2021-07-07 11:04:27,2021-07-07 11:10:08,48:49:c7:19:22:fa,-73,2,-22.816367,-47.072648,-22.821399,-47.066846999999996,232,2,,341,2021-07-07 11:04:27,0.8164422101586081
50382,2021-07-07 11:04:48,2021-07-07 11:11:52,78:23:27:3d:cd:46,-73,1,-22.816454,-47.072611,-22.82493,-47.065645,208,15,,424,2021-07-07 11:04:48,1.1823769007134766
52454,2021-07-07 12:02:15,2021-07-07 12:15:57,40:06:a0:5b:8c:b2,-90,11,-22.824594,-47.065007,-22.813254999999998,-47.063258000000005,40,165,,822,2021-07-07 12:02:15,1.2735202917970436
