,timestampI,timestampF,MAC,RSSI,channel,latitudeI,longitudeI,latitudeF,longitudeF,cnt_pckg,id,device_id,duration,ts_sort,distancias
8377,2021-07-02 08:14:16,2021-07-02 08:16:18,38:d4:0b:7e:0b:d1,-92,5,-22.827521,-47.067282,-22.831894000000002,-47.062216,46,619,617.0,122,2021-07-02 08:14:16,0.7113357027777809
9035,2021-07-02 08:23:22,2021-07-02 08:26:17,50:92:b9:02:b9:28,-61,6,-22.829635999999997,-47.061212,-22.827469,-47.067258,59,12,617.0,175,2021-07-02 08:23:22,0.6648286162540448
9263,2021-07-02 08:31:51,2021-07-02 08:41:47,5a:ae:ef:87:15:4d,-47,6,-22.815539,-47.072573999999996,-22.818146,-47.061842,40,240,617.0,596,2021-07-02 08:31:51,1.1375224921607152
11103,2021-07-02 11:16:35,2021-07-02 11:28:57,dc:bf:e9:40:a7:15,-94,11,-22.825357,-47.065806,-22.816803,-47.062529,90,83,617.0,742,2021-07-02 11:16:35,1.0087189909278373
11226,2021-07-02 11:20:34,2021-07-02 11:27:55,c6:5c:22:fa:02:90,-54,1,-22.816549,-47.072674,-22.813613,-47.063447,64,206,617.0,441,2021-07-02 11:20:34,1.0004878880799315
11228,2021-07-02 11:20:38,2021-07-02 11:21:42,7c:8b:b5:e5:85:13,-55,1,-22.816451999999998,-47.07268,-22.813791000000002,-47.069253,118,208,617.0,64,2021-07-02 11:20:38,0.45926945060235463
11583,2021-07-02 11:59:30,2021-07-02 12:03:26,0c:cb:85:c4:9f:16,-89,6,-22.828429,-47.066348,-22.821451999999997,-47.070296,74,70,617.0,236,2021-07-02 11:59:30,0.8749841456603874
11672,2021-07-02 12:01:38,2021-07-02 12:06:32,08:cc:27:ee:0c:4e,-82,11,-22.825325,-47.066437,-22.813876,-47.070677,132,159,617.0,294,2021-07-02 12:01:38,1.3451991795930718
11769,2021-07-02 12:03:54,2021-07-02 12:09:17,d8:9a:34:1d:ae:f9,-76,1,-22.819257,-47.072203,-22.816257,-47.066218,167,256,617.0,323,2021-07-02 12:03:54,0.6982593106862484
11891,2021-07-02 12:10:14,2021-07-02 12:16:54,5a:ae:ef:87:15:4d,-54,6,-22.818901999999998,-47.066704,-22.818617,-47.059745,36,378,617.0,400,2021-07-02 12:10:14,0.713949223452482
11926,2021-07-02 12:11:49,2021-07-02 12:23:15,48:90:2f:db:fe:44,-86,11,-22.820129,-47.065725,-22.829791,-47.060032,252,413,617.0,686,2021-07-02 12:11:49,1.2225766738555008
12180,2021-07-02 12:21:16,2021-07-02 12:22:41,d4:63:c6:c9:a6:7d,-91,6,-22.829613000000002,-47.065296999999994,-22.829818,-47.061954,58,578,617.0,85,2021-07-02 12:21:16,0.3433624537577938
13144,2021-07-02 12:53:02,2021-07-02 12:54:17,0c:ec:8d:6c:1f:67,-93,11,-22.826214999999998,-47.067637,-22.831194,-47.063639,90,451,617.0,75,2021-07-02 12:53:02,0.6887674023671717
14823,2021-07-02 14:08:43,2021-07-02 14:18:57,98:39:8e:31:0b:8d,-95,1,-22.819945,-47.067735,-22.827624,-47.067152,132,287,617.0,614,2021-07-02 14:08:43,0.8559550600238937
14826,2021-07-02 14:08:59,2021-07-02 14:17:46,bc:98:df:f2:af:6e,-90,11,-22.820467,-47.068219,-22.824937,-47.065544,34,290,617.0,527,2021-07-02 14:08:59,0.5676391796570508
15363,2021-07-02 14:37:58,2021-07-02 14:49:11,68:c4:4d:76:e6:cb,-95,11,-22.829537,-47.063646000000006,-22.819572,-47.067291,246,15,617.0,673,2021-07-02 14:37:58,1.1693368955535317
16710,2021-07-02 15:48:03,2021-07-02 15:52:40,30:cb:f8:6c:11:f9,-89,1,-22.818001000000002,-47.072525,-22.819337,-47.06707,32,202,617.0,277,2021-07-02 15:48:03,0.578496918322169
16787,2021-07-02 15:51:18,2021-07-02 15:58:32,a8:96:75:4c:66:9b,-88,6,-22.815098000000003,-47.064524,-22.818326000000003,-47.064112,63,279,617.0,434,2021-07-02 15:51:18,0.36141313316346796
17801,2021-07-02 16:48:45,2021-07-02 16:55:01,48:90:2f:d6:51:cf,-93,1,-22.817429999999998,-47.072661,-22.820966000000002,-47.068033,69,263,617.0,376,2021-07-02 16:48:45,0.6161069232471766
17804,2021-07-02 16:48:50,2021-07-02 16:59:07,58:d9:c3:4a:55:30,-87,1,-22.817238,-47.072672999999995,-22.816367,-47.062499,212,266,617.0,617,2021-07-02 16:48:50,1.0472620276454367
17912,2021-07-02 16:54:24,2021-07-02 17:04:38,be:24:fd:6d:fe:04,-92,1,-22.819602,-47.067342,-22.825847,-47.067257,47,374,617.0,614,2021-07-02 16:54:24,0.6944679187287953
20016,2021-07-05 06:52:42,2021-07-05 07:05:16,62:59:d1:fb:19:82,-68,2,-22.825633,-47.066283,-22.814103,-47.06317,83,73,617.0,754,2021-07-05 06:52:42,1.3211829618911797
20378,2021-07-05 07:16:45,2021-07-05 07:18:08,ee:b5:43:48:7f:0c,-92,1,-22.828523999999998,-47.066237,-22.825494,-47.066086999999996,230,43,617.0,83,2021-07-05 07:16:45,0.33727162721813075
20389,2021-07-05 07:16:57,2021-07-05 07:18:17,0c:f4:d5:15:60:78,-93,11,-22.827886,-47.06678,-22.82531,-47.065714,30,54,617.0,80,2021-07-05 07:16:57,0.30656607127982993
