,device_id,timestampI,timestampF,MAC,RSSI,channel,latitudeI,longitudeI,latitudeF,longitudeF,cnt_pckg,id,duration,ts_sort,distancias
35106,,2021-06-08 07:37:47,2021-06-08 07:41:42,70:fd:46:05:d9:48,-91,6,-22.826517000000003,-47.0677,-22.829381,-47.064928,155,139,235,2021-06-08 07:37:47,0.42676187440548624
35169,,2021-06-08 07:40:52,2021-06-08 07:45:48,f0:d7:aa:05:66:18,-89,13,-22.829552,-47.062913,-22.822288,-47.069444,87,202,296,2021-06-08 07:40:52,1.0490157667113995
36266,,2021-06-08 08:20:42,2021-06-08 08:27:00,02:25:6a:00:f5:5f,-41,6,-22.815876,-47.072684,-22.827579,-47.06723,238,5,378,2021-06-08 08:20:42,1.4162924742274354
36390,,2021-06-08 08:27:10,2021-06-08 08:32:09,c6:43:fe:7a:db:09,-81,1,-22.827982000000002,-47.066814,-22.825404000000002,-47.065876,54,129,299,2021-06-08 08:27:10,0.30235065488192303
37673,,2021-06-08 11:04:38,2021-06-08 11:07:32,48:49:c7:19:22:fa,-86,1,-22.816354,-47.07266,-22.815357000000002,-47.066728999999995,93,6,174,2021-06-08 11:04:38,0.6179223527367974
37885,,2021-06-08 11:15:35,2021-06-08 11:19:38,40:06:a0:5b:8c:b2,-92,11,-22.829729,-47.061896000000004,-22.824545,-47.067499,79,218,243,2021-06-08 11:15:35,0.8136449604086577
37998,,2021-06-08 11:19:44,2021-06-08 11:25:07,48:90:2f:d6:99:2a,-59,1,-22.824272,-47.067726,-22.814134,-47.059215,95,331,323,2021-06-08 11:19:44,1.4253849718848177
39246,,2021-06-08 11:56:48,2021-06-08 12:05:23,9e:d7:ff:2f:a4:16,-66,11,-22.815783,-47.072595,-22.830263000000002,-47.062053999999996,243,5,515,2021-06-08 11:56:48,1.9389615200286168
39650,,2021-06-08 12:12:25,2021-06-08 12:14:35,1a:48:28:d3:4b:c9,-94,7,-22.821147,-47.067349,-22.813987,-47.064538,48,409,130,2021-06-08 12:12:25,0.8466831904131432
42778,,2021-06-08 14:35:18,2021-06-08 14:39:48,ca:29:68:28:5d:34,-88,7,-22.825004,-47.065721999999994,-22.827517,-47.067168,79,107,270,2021-06-08 14:35:18,0.3162989085255595
42782,,2021-06-08 14:35:20,2021-06-08 14:39:43,1e:13:c4:5b:72:72,-91,6,-22.825043,-47.065806,-22.827635,-47.067031,45,111,263,2021-06-08 14:35:20,0.3143744616166977
49317,,2021-06-09 07:35:50,2021-06-09 07:37:31,a8:16:d0:7b:7b:d1,-92,2,-22.820928,-47.068044,-22.823349,-47.065565,35,104,101,2021-06-09 07:35:50,0.3701666385275653
49449,,2021-06-09 07:41:56,2021-06-09 07:47:45,f0:d7:aa:05:66:18,-55,13,-22.829468,-47.063908000000005,-22.821233,-47.067464,110,236,349,2021-06-09 07:41:56,0.9855514406577323
49546,,2021-06-09 07:45:54,2021-06-09 07:53:17,58:d9:c3:79:9a:2e,-94,1,-22.823922,-47.068065999999995,-22.81344,-47.061276,200,333,443,2021-06-09 07:45:54,1.3575016040013563
51996,,2021-06-09 11:04:12,2021-06-09 11:13:48,48:49:c7:19:22:fa,-90,1,-22.816217,-47.072049,-22.828727999999998,-47.066184,40,5,576,2021-06-09 11:04:12,1.515471783303337
52003,,2021-06-09 11:04:49,2021-06-09 11:13:04,70:fd:46:8a:27:62,-92,1,-22.81626,-47.07264,-22.82754,-47.067279,38,12,495,2021-06-09 11:04:49,1.369348262921992
52306,,2021-06-09 11:18:11,2021-06-09 11:22:55,f0:d7:aa:23:6e:c7,-73,8,-22.825765,-47.066454,-22.818793,-47.064367,201,315,284,2021-06-09 11:18:11,0.8042185539273695
52338,,2021-06-09 11:19:57,2021-06-09 11:21:27,c6:0e:a6:67:db:38,-83,5,-22.825307000000002,-47.066727,-22.821718,-47.068826,167,347,90,2021-06-09 11:19:57,0.4533681004465684
55918,,2021-06-09 13:40:29,2021-06-09 13:43:06,56:d3:15:78:6c:4d,-87,6,-22.82462,-47.064962,-22.831884,-47.062203000000004,30,73,157,2021-06-09 13:40:29,0.8557832320516375
